GEOID,votes_Biden_20,votes_Trump_20,votes_total_20,margin_Biden_20,votes_Curran_21,pct_Curran_21,margin_Curran_21_ifwon,votes_Blakeman_21,votes_total_21,pct_Blakeman_21,margin_Blakeman_21_ifwon,margin_21,margin_Curran_21,pct_Biden_20,pct_Trump_20,margin_Curran_21_relto_Biden_20,Town
36059-0214079,455,305,767,19.6,216,57.29,14.59,161,377,42.71,0,14.58,14.58,59.3220339,39.76531943,-2.032033898,2
36059-0214084,272,193,476,16.6,93,49.47,0,95,188,50.53,1.06,-1.06,-1.06,57.14285714,40.54621849,-7.672857143,2
36059-0214085,352,286,643,10.3,124,47.69,0,136,260,52.31,4.62,-4.62,-4.62,54.74339036,44.47900467,-7.053390358,2
36059-0214086,422,420,854,0.2,133,41.82,0,185,318,58.18,16.35,-16.36,-16.36,49.41451991,49.18032787,-7.594519906,2
36059-0214076,446,267,720,24.9,155,58.05,16.1,112,267,41.95,0,16.1,16.1,61.94444444,37.08333333,-3.894444444,2
36059-0214080,381,312,697,9.9,121,48.59,0,128,249,51.41,2.81,-2.82,-2.82,54.66284075,44.76327116,-6.072840746,2
36059-0214083,368,303,674,9.6,99,54.7,9.39,82,181,45.3,0,9.4,9.4,54.59940653,44.95548961,0.100593472,2
36059-0214077,391,210,609,29.7,136,60.99,21.97,87,223,39.01,0,21.98,21.98,64.20361248,34.48275862,-3.213612479,2
36059-0214078,485,306,797,22.5,185,60.86,21.71,119,304,39.14,0,21.72,21.72,60.8531995,38.39397742,0.006800502,2
36059-0214082,500,319,821,22,182,57.78,15.56,133,315,42.22,0,15.56,15.56,60.90133983,38.85505481,-3.121339829,2
36059-0214081,343,301,650,6.5,151,58.75,17.51,106,257,41.25,0,17.5,17.5,52.76923077,46.30769231,5.980769231,2
36059-0214088,294,378,680,-12.4,111,40.51,0,163,274,59.49,18.98,-18.98,-18.98,43.23529412,55.58823529,-2.725294118,2
36059-0214089,346,294,648,8,104,49.76,0,105,209,50.24,0.48,-0.48,-0.48,53.39506173,45.37037037,-3.635061728,2
36059-0214090,337,303,644,5.3,81,41.54,0,114,195,58.46,16.92,-16.92,-16.92,52.32919255,47.04968944,-10.78919255,2
36059-0214092,436,596,1045,-15.3,155,35.23,0,285,440,64.77,29.55,-29.54,-29.54,41.72248804,57.03349282,-6.492488038,2
36059-0214095,309,370,687,-8.9,106,41.25,0,149,257,57.98,16.73,-16.73,-16.73,44.97816594,53.8573508,-3.728165939,2
36059-0214100,358,764,1131,-35.9,137,27.13,0,368,505,72.87,45.74,-45.74,-45.74,31.65340407,67.55083996,-4.523404067,2
36059-0214102,240,415,665,-26.3,123,37.61,0,203,327,62.08,24.46,-24.47,-24.47,36.09022556,62.40601504,1.519774436,2
36059-0214105,213,338,562,-22.2,89,36.33,0,156,245,63.67,27.35,-27.34,-27.34,37.90035587,60.14234875,-1.570355872,2
36059-0214103,250,451,709,-28.3,121,39.54,0,185,306,60.46,20.92,-20.92,-20.92,35.26093089,63.61071932,4.279069111,2
36059-0214107,310,659,985,-35.4,101,25.31,0,298,399,74.69,49.37,-49.38,-49.38,31.47208122,66.9035533,-6.162081218,2
36059-0215002,350,364,720,-1.9,119,44.74,0,147,266,55.26,10.53,-10.52,-10.52,48.61111111,50.55555556,-3.871111111,2
36059-0215003,243,230,480,2.7,90,47.87,0,98,188,52.13,4.26,-4.26,-4.26,50.625,47.91666667,-2.755,2
36059-0215004,355,367,732,-1.6,111,40.36,0,164,275,59.64,19.27,-19.28,-19.28,48.49726776,50.13661202,-8.13726776,2
36059-0215005,366,391,768,-3.3,157,50.65,1.29,153,310,49.35,0,1.3,1.3,47.65625,50.91145833,2.99375,2
36059-0215006,235,279,519,-8.5,94,42.92,0,125,219,57.08,14.16,-14.16,-14.16,45.27938343,53.75722543,-2.35938343,2
36059-0215008,426,406,840,2.4,184,49.46,0,188,372,50.54,1.08,-1.08,-1.08,50.71428571,48.33333333,-1.254285714,2
36059-0215010,103,89,194,7.2,18,94.74,89.47,1,19,5.26,0,89.48,89.48,53.09278351,45.87628866,41.64721649,2
36059-0217001,152,216,373,-17.2,90,42.45,0,122,212,57.55,15.09,-15.1,-15.1,40.75067024,57.90884718,1.699329759,2
36059-0215012,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,2
36059-0217002,475,442,930,3.5,197,53.24,6.76,172,370,46.49,0,6.75,6.75,51.07526882,47.52688172,2.164731183,2
36059-0217004,437,433,880,0.5,142,43.56,0,183,326,56.13,12.58,-12.57,-12.57,49.65909091,49.20454545,-6.099090909,2
36059-0217003,230,264,503,-6.8,81,45.76,0,96,177,54.24,8.47,-8.48,-8.48,45.72564612,52.48508946,0.034353877,2
36059-0217006,446,545,998,-9.9,136,34,0,264,400,66,32,-32,-32,44.68937876,54.60921844,-10.68937876,2
36059-0217007,465,415,889,5.6,181,49.45,0,185,366,50.55,1.09,-1.1,-1.1,52.30596175,46.68166479,-2.855961755,2
36059-0217008,466,538,1009,-7.1,151,42.06,0,208,359,57.94,15.88,-15.88,-15.88,46.18434093,53.32011893,-4.124340932,2
36059-0217010,542,556,1106,-1.3,259,52.54,5.07,234,493,47.46,0,5.08,5.08,49.00542495,50.27124774,3.534575045,2
36059-0217012,16,15,31,3.2,0,0,0,8,8,100,100,-100,-100,51.61290323,48.38709677,-51.61290323,2
36059-0217013,404,408,820,-0.5,135,45.45,0,162,297,54.55,9.09,-9.1,-9.1,49.26829268,49.75609756,-3.818292683,2
36059-0217014,148,178,332,-9,54,48.21,0,58,112,51.79,3.57,-3.58,-3.58,44.57831325,53.61445783,3.631686747,2
36059-0217016,297,306,606,-1.5,86,41.15,0,123,209,58.85,17.7,-17.7,-17.7,49.00990099,50.4950495,-7.85990099,2
36059-0217017,263,358,629,-15.1,103,39.16,0,160,263,60.84,21.67,-21.68,-21.68,41.81240064,56.91573927,-2.652400636,2
36059-0217018,283,233,531,9.4,77,39.9,0,116,193,60.1,20.21,-20.2,-20.2,53.29566855,43.87947269,-13.39566855,2
36059-0217019,280,202,488,16,82,50.62,1.23,80,162,49.38,0,1.24,1.24,57.37704918,41.39344262,-6.75704918,2
36059-0217026,438,481,930,-4.6,141,39.61,0,215,356,60.39,20.79,-20.78,-20.78,47.09677419,51.72043011,-7.486774194,2
36059-0217020,347,396,754,-6.5,106,36.18,0,187,293,63.82,27.65,-27.64,-27.64,46.02122016,52.5198939,-9.841220159,2
36059-0217027,206,276,493,-14.2,82,40.2,0,122,204,59.8,19.61,-19.6,-19.6,41.78498986,55.98377282,-1.584989858,2
36059-0217031,272,301,584,-5,110,50.46,0.92,108,218,49.54,0,0.92,0.92,46.57534247,51.54109589,3.884657534,2
36059-0217037,310,359,677,-7.2,108,41.7,0,151,259,58.3,16.6,-16.6,-16.6,45.79025111,53.02806499,-4.090251108,2
36059-0217050,425,403,834,2.6,125,42.23,0,171,296,57.77,15.54,-15.54,-15.54,50.95923261,48.32134293,-8.729232614,2
36059-0217051,431,484,927,-5.7,146,41.24,0,208,354,58.76,17.51,-17.52,-17.52,46.49406688,52.21143474,-5.254066882,2
36059-0217052,327,405,744,-10.5,105,35.35,0,192,297,64.65,29.29,-29.3,-29.3,43.9516129,54.43548387,-8.601612903,2
36059-0217053,349,441,801,-11.5,123,37.39,0,205,329,62.31,24.92,-24.92,-24.92,43.57053683,55.05617978,-6.180536829,2
36059-0217057,292,465,772,-22.4,88,30.99,0,196,284,69.01,38.03,-38.02,-38.02,37.8238342,60.23316062,-6.833834197,2
36059-0217058,301,520,830,-26.4,112,33.53,0,222,334,66.47,32.93,-32.94,-32.94,36.26506024,62.65060241,-2.735060241,2
36059-0217061,260,322,593,-10.5,95,38.31,0,153,248,61.69,23.39,-23.38,-23.38,43.84485666,54.30016863,-5.534856661,2
36059-0217062,342,408,762,-8.7,100,35.09,0,185,285,64.91,29.82,-29.82,-29.82,44.88188976,53.54330709,-9.791889764,2
36059-0217064,179,252,437,-16.7,59,35.98,0,105,164,64.02,28.05,-28.04,-28.04,40.9610984,57.66590389,-4.981098398,2
36059-0218001,409,80,497,66.2,93,76.23,52.46,29,122,23.77,0,52.46,52.46,82.29376258,16.09657948,-6.063762575,2
