"AD","ED","Harris","Trump"
35,10,228,149
35,11,275,186
35,12,423,282
35,13,368,300
35,14,433,264
35,15,395,267
35,16,511,240
35,17,315,325
35,18,191,250
35,19,208,189
35,20,147,130
35,21,142,84
35,22,310,338
35,23,260,204
35,24,326,228
35,25,447,201
35,26,481,236
35,27,129,98
35,28,70,50
35,29,269,153
35,30,488,288
35,31,221,338
35,32,456,188
35,33,549,171
35,34,455,207
35,35,464,182
35,36,482,208
35,37,257,169
35,38,353,341
35,39,420,449
35,40,355,360
35,41,380,476
35,42,375,556
35,43,146,208
35,44,261,124
35,45,172,354
35,46,296,203
35,47,0,0
35,48,86,62
35,49,310,426
35,50,0,0
35,51,0,0
35,52,0,0
35,53,0,0
35,54,0,0
35,55,0,0
35,56,0,0
35,57,0,0
35,58,0,0
35,59,0,0
35,60,0,0
35,61,0,0
35,62,0,0
35,63,0,0
35,64,0,0
35,65,0,0
36,1,449,321
36,2,307,89
36,3,766,427
36,4,533,258
36,5,802,376
36,6,489,105
36,7,719,178
36,8,553,255
36,9,482,154
36,10,822,272
36,11,363,104
36,12,625,155
36,13,649,268
36,14,702,279
36,15,318,65
36,16,595,189
36,17,757,236
36,18,385,115
36,19,825,188
36,20,838,229
36,21,763,196
36,22,837,238
36,23,749,244
36,24,536,211
36,25,833,259
36,26,493,152
36,27,229,81
36,28,761,326
36,29,113,49
36,30,375,151
36,31,449,150
36,32,587,158
36,33,62,32
36,34,54,28
36,35,842,121
36,36,111,226
36,37,580,70
36,38,459,186
36,39,473,154
36,40,502,179
36,41,972,187
36,42,632,120
36,43,615,237
36,44,733,227
36,45,352,137
36,46,579,190
36,47,518,156
36,48,140,56
36,49,50,18
36,50,60,36
36,51,230,137
36,52,157,74
36,53,237,61
36,54,659,190
36,55,686,256
36,56,905,302
36,57,721,217
36,58,455,118
36,59,553,159
36,60,461,172
36,61,499,191
36,62,699,200
36,63,860,264
36,64,355,160
36,65,716,268
36,66,110,29
36,67,58,13
36,68,0,0
36,69,0,0
36,70,0,0
37,1,874,137
37,2,1027,170
37,3,1011,172
37,4,567,115
37,5,658,98
37,6,1023,187
37,7,812,136
37,8,93,220
37,9,454,61
37,10,13,3
37,11,112,150
37,12,609,189
37,13,61,45
37,14,558,316
37,15,143,110
37,16,255,195
37,17,357,317
37,18,442,306
37,19,556,268
37,20,608,230
37,21,648,197
37,22,715,256
37,23,527,166
37,24,651,296
37,25,550,159
37,26,532,216
37,27,768,278
37,28,785,262
37,29,587,225
37,30,586,325
37,31,598,288
37,32,271,112
37,33,456,175
37,34,12,8
37,35,865,201
37,36,967,402
37,37,317,130
37,38,0,0
37,39,242,520
37,40,324,635
37,41,27,15
37,42,0,0
37,43,514,420
37,44,387,236
37,45,28,28
37,46,43,78
37,47,442,578
37,48,366,503
37,49,185,296
37,50,412,566
37,51,438,618
37,52,470,409
37,53,466,399
37,54,478,266
37,55,381,228
37,56,437,181
37,57,486,271
37,58,257,169
37,59,340,112
37,60,232,80
37,61,361,183
37,62,214,159
37,63,671,343
37,64,469,217
37,65,491,187
37,66,0,0
37,67,0,0
37,68,0,0
37,69,0,0
37,70,0,0
37,71,0,0
38,1,510,208
38,2,613,246
38,3,607,196
38,4,615,161
38,5,171,105
38,6,547,297
38,7,691,281
38,8,1,4
38,9,484,452
38,10,470,385
38,11,340,416
