state,GEOID,votes_dem,votes_rep,votes_total,pct_dem_lead,official_boundary,FIPS,TOWN
NY,3.6059E+11,336,576,932,-0.2575,TRUE,36059,2
NY,3.6059E+11,4,7,11,-0.2727,TRUE,36059,2
NY,3.6059E+11,315,561,888,-0.277,TRUE,36059,2
NY,3.6059E+11,164,333,501,-0.3373,TRUE,36059,2
NY,3.6059E+11,296,417,722,-0.1676,TRUE,36059,2
NY,3.6059E+11,339,429,779,-0.1155,TRUE,36059,2
NY,3.6059E+11,137,184,326,-0.1442,TRUE,36059,2
NY,3.6059E+11,168,223,399,-0.1378,TRUE,36059,2
NY,3.6059E+11,319,368,693,-0.0707,TRUE,36059,2
NY,3.6059E+11,116,181,307,-0.2117,TRUE,36059,2
NY,3.6059E+11,289,702,1008,-0.4097,TRUE,36059,2
NY,3.6059E+11,4,3,7,0.1429,TRUE,36059,2
NY,3.6059E+11,132,239,379,-0.2823,TRUE,36059,2
NY,3.6059E+11,106,239,352,-0.3778,TRUE,36059,2
NY,3.6059E+11,7,1,8,0.75,TRUE,36059,2
NY,3.6059E+11,7,2,9,0.5556,TRUE,36059,2
NY,3.6059E+11,391,462,885,-0.0802,TRUE,36059,2
NY,3.6059E+11,286,399,699,-0.1617,TRUE,36059,2
NY,3.6059E+11,307,436,753,-0.1713,TRUE,36059,2
NY,3.6059E+11,360,472,844,-0.1327,TRUE,36059,2
NY,3.6059E+11,487,663,1162,-0.1515,TRUE,36059,2
NY,3.6059E+11,156,239,399,-0.208,TRUE,36059,2
NY,3.6059E+11,262,413,680,-0.2221,TRUE,36059,2
NY,3.6059E+11,188,362,568,-0.3063,TRUE,36059,2
NY,3.6059E+11,164,340,510,-0.3451,TRUE,36059,2
NY,3.6059E+11,308,599,925,-0.3146,TRUE,36059,2
NY,3.6059E+11,2,1,3,0.3333,TRUE,36059,2
NY,3.6059E+11,212,591,815,-0.465,TRUE,36059,2
NY,3.6059E+11,268,496,765,-0.298,TRUE,36059,2
NY,3.6059E+11,326,441,774,-0.1486,TRUE,36059,2
NY,3.6059E+11,229,319,548,-0.1642,TRUE,36059,2
NY,3.6059E+11,239,515,759,-0.3636,TRUE,36059,2
NY,3.6059E+11,191,440,647,-0.3849,TRUE,36059,2
NY,3.6059E+11,88,384,483,-0.6128,TRUE,36059,2
NY,3.6059E+11,105,644,754,-0.7149,TRUE,36059,2
NY,3.6059E+11,104,803,911,-0.7673,TRUE,36059,2
NY,3.6059E+11,130,583,725,-0.6248,TRUE,36059,2
NY,3.6059E+11,107,744,864,-0.7373,TRUE,36059,2
NY,3.6059E+11,96,617,721,-0.7226,TRUE,36059,2
NY,3.6059E+11,213,654,879,-0.5017,TRUE,36059,2
NY,3.6059E+11,213,488,709,-0.3879,TRUE,36059,2
NY,3.6059E+11,102,244,351,-0.4046,TRUE,36059,2
NY,3.6059E+11,292,316,616,-0.039,TRUE,36059,2
NY,3.6059E+11,165,187,354,-0.0621,TRUE,36059,2
NY,3.6059E+11,316,441,762,-0.164,TRUE,36059,2
NY,3.6059E+11,314,328,653,-0.0214,TRUE,36059,2
NY,3.6059E+11,229,449,689,-0.3193,TRUE,36059,2
NY,3.6059E+11,84,369,461,-0.6182,TRUE,36059,2
NY,3.6059E+11,212,230,447,-0.0403,TRUE,36059,2
NY,3.6059E+11,72,191,263,-0.4525,TRUE,36059,2
NY,3.6059E+11,251,609,873,-0.4101,TRUE,36059,2
NY,3.6059E+11,230,513,746,-0.3794,TRUE,36059,2
NY,3.6059E+11,78,242,323,-0.5077,TRUE,36059,2
NY,3.6059E+11,110,423,541,-0.5786,TRUE,36059,2
NY,3.6059E+11,430,556,997,-0.1264,TRUE,36059,2
NY,3.6059E+11,255,311,569,-0.0984,TRUE,36059,2
NY,3.6059E+11,265,496,772,-0.2992,TRUE,36059,2
NY,3.6059E+11,311,441,753,-0.1726,TRUE,36059,2
NY,3.6059E+11,251,225,486,0.0535,TRUE,36059,2
NY,3.6059E+11,232,364,599,-0.2204,TRUE,36059,2
NY,3.6059E+11,269,355,625,-0.1376,TRUE,36059,2
NY,3.6059E+11,326,505,832,-0.2151,TRUE,36059,2
NY,3.6059E+11,187,367,558,-0.3226,TRUE,36059,2
NY,3.6059E+11,434,721,1168,-0.2457,TRUE,36059,2
NY,3.6059E+11,429,440,877,-0.0125,TRUE,36059,2
NY,3.6059E+11,342,523,871,-0.2078,TRUE,36059,2
NY,3.6059E+11,387,421,812,-0.0419,TRUE,36059,2
NY,3.6059E+11,4,1,5,0.6,TRUE,36059,2
NY,3.6059E+11,17,752,777,-0.9459,TRUE,36059,2
NY,3.6059E+11,30,66,97,-0.3711,TRUE,36059,2
NY,3.6059E+11,129,615,748,-0.6497,TRUE,36059,2
NY,3.6059E+11,85,462,548,-0.688,TRUE,36059,2
NY,3.6059E+11,158,516,681,-0.5257,TRUE,36059,2
NY,3.6059E+11,109,535,649,-0.6564,TRUE,36059,2
NY,3.6059E+11,118,516,637,-0.6248,TRUE,36059,2
NY,3.6059E+11,235,255,492,-0.0407,TRUE,36059,2
NY,3.6059E+11,141,421,564,-0.4965,TRUE,36059,2
NY,3.6059E+11,80,874,965,-0.8228,TRUE,36059,2
NY,3.6059E+11,37,760,805,-0.8981,TRUE,36059,2
NY,3.6059E+11,117,623,747,-0.6774,TRUE,36059,2
NY,3.6059E+11,8,16,24,-0.3333,TRUE,36059,2
NY,3.6059E+11,303,522,835,-0.2623,TRUE,36059,2
NY,3.6059E+11,216,116,332,0.3012,TRUE,36059,2
NY,3.6059E+11,527,242,773,0.3687,TRUE,36059,2
NY,3.6059E+11,202,250,461,-0.1041,TRUE,36059,2
NY,3.6059E+11,376,605,982,-0.2332,TRUE,36059,2
NY,3.6059E+11,46,30,78,0.2051,TRUE,36059,2
NY,3.6059E+11,269,436,709,-0.2355,TRUE,36059,2
NY,3.6059E+11,309,521,835,-0.2539,TRUE,36059,2
NY,3.6059E+11,266,475,745,-0.2805,TRUE,36059,2
NY,3.6059E+11,538,445,989,0.094,TRUE,36059,2
NY,3.6059E+11,455,340,799,0.1439,TRUE,36059,2
NY,3.6059E+11,187,304,496,-0.2359,TRUE,36059,2
NY,3.6059E+11,31,72,103,-0.3981,TRUE,36059,2
NY,3.6059E+11,283,347,633,-0.1011,TRUE,36059,2
NY,3.6059E+11,146,217,363,-0.1956,TRUE,36059,2
NY,3.6059E+11,468,823,1299,-0.2733,TRUE,36059,2
NY,3.6059E+11,166,235,402,-0.1716,TRUE,36059,2
NY,3.6059E+11,366,543,916,-0.1932,TRUE,36059,2
NY,3.6059E+11,297,424,722,-0.1759,TRUE,36059,2
NY,3.6059E+11,49,75,124,-0.2097,TRUE,36059,2
